Gender,Age,Academic Pressure,CGPA,Study Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
Male,33,5,8.97,2,'5-6 hours',Healthy,B.Pharm,Yes,3,1,No,1
Female,24,2,5.9,5,'5-6 hours',Moderate,BSc,No,3,2,Yes,0
Male,31,3,7.03,5,'Less than 5 hours',Healthy,BA,No,9,1,Yes,0
Female,28,3,5.59,2,'7-8 hours',Moderate,BCA,Yes,4,5,Yes,1
Female,25,4,8.13,3,'5-6 hours',Moderate,M.Tech,Yes,1,1,No,0
Male,29,2,5.7,3,'Less than 5 hours',Healthy,PhD,No,4,1,No,0
Male,30,3,9.54,4,'7-8 hours',Healthy,BSc,No,1,2,No,0
Female,30,2,8.04,4,'Less than 5 hours',Unhealthy,'Class 12',No,0,1,Yes,0
Male,28,3,9.79,1,'7-8 hours',Moderate,B.Ed,Yes,12,3,No,1
Male,31,2,8.38,3,'Less than 5 hours',Moderate,LLB,Yes,2,5,No,1
Male,24,3,6.1,3,'5-6 hours',Moderate,'Class 12',Yes,11,1,Yes,1
Male,33,3,7.03,4,'Less than 5 hours',Healthy,BE,Yes,10,2,Yes,0
Male,27,5,7.04,1,'Less than 5 hours',Moderate,M.Tech,No,10,1,Yes,1
Female,19,2,8.52,4,'Less than 5 hours',Unhealthy,'Class 12',No,6,2,Yes,0
Female,19,5,5.64,5,'Less than 5 hours',Moderate,'Class 12',Yes,4,5,Yes,1
Male,29,3,8.58,3,'More than 8 hours',Moderate,M.Tech,Yes,10,2,Yes,1
Male,25,5,6.51,2,'Less than 5 hours',Unhealthy,M.Ed,Yes,2,5,Yes,1
Female,20,5,7.25,3,'5-6 hours',Healthy,'Class 12',Yes,10,3,No,1
Male,19,2,7.83,2,'7-8 hours',Unhealthy,'Class 12',No,6,3,No,0
Male,25,3,9.93,3,'5-6 hours',Moderate,B.Ed,No,8,3,Yes,1
